Country,Month_name,Month,Year,Events,Fatalities
Kenya,January,1,1997,3,6
Kenya,February,2,1997,3,9
Kenya,March,3,1997,6,179
Kenya,April,4,1997,4,7
Kenya,May,5,1997,4,22
Kenya,June,6,1997,3,1
Kenya,July,7,1997,6,22
Kenya,August,8,1997,25,70
Kenya,September,9,1997,16,97
Kenya,October,10,1997,10,29
Kenya,November,11,1997,14,16
Kenya,December,12,1997,12,12
Kenya,January,1,1998,21,7
Kenya,February,2,1998,3,0
Kenya,March,3,1998,3,2
Kenya,April,4,1998,14,6
Kenya,May,5,1998,6,2
Kenya,June,6,1998,1,0
Kenya,July,7,1998,4,85
Kenya,August,8,1998,3,225
Kenya,September,9,1998,5,2
Kenya,October,10,1998,28,286
Kenya,November,11,1998,3,0
Kenya,December,12,1998,5,0
Kenya,January,1,1999,18,12
Kenya,February,2,1999,12,8
Kenya,March,3,1999,12,104
Kenya,April,4,1999,7,1
Kenya,May,5,1999,11,2
Kenya,June,6,1999,10,21
Kenya,July,7,1999,13,0
Kenya,August,8,1999,15,159
Kenya,September,9,1999,4,1
Kenya,October,10,1999,10,3
Kenya,November,11,1999,12,13
Kenya,December,12,1999,10,15
Kenya,January,1,2000,7,28
Kenya,February,2,2000,11,93
Kenya,March,3,2000,8,22
Kenya,April,4,2000,17,72
Kenya,May,5,2000,12,37
Kenya,June,6,2000,13,42
Kenya,July,7,2000,7,70
Kenya,August,8,2000,23,17
Kenya,September,9,2000,7,19
Kenya,October,10,2000,20,17
Kenya,November,11,2000,12,13
Kenya,December,12,2000,9,13
Kenya,January,1,2001,21,59
Kenya,February,2,2001,12,56
Kenya,March,3,2001,28,135
Kenya,April,4,2001,8,17
Kenya,May,5,2001,9,20
Kenya,June,6,2001,6,23
Kenya,July,7,2001,23,37
Kenya,August,8,2001,6,10
Kenya,September,9,2001,12,87
Kenya,October,10,2001,4,8
Kenya,November,11,2001,10,46
Kenya,December,12,2001,10,140
Kenya,January,1,2002,14,31
Kenya,February,2,2002,8,11
Kenya,March,3,2002,13,96
Kenya,April,4,2002,5,6
Kenya,May,5,2002,8,4
Kenya,June,6,2002,7,18
Kenya,July,7,2002,16,58
Kenya,August,8,2002,6,6
Kenya,September,9,2002,29,94
Kenya,October,10,2002,20,21
